tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0003740,movie,Cabiria,Cabiria,0,1914,\N,148,"Adventure,Drama,History"
tt0008663,movie,A Man There Was,Terje Vigen,0,1917,\N,65,"Drama,War"
tt0009369,movie,Mickey,Mickey,0,1918,\N,93,"Comedy,Drama"
tt0010307,movie,J'accuse!,J'accuse,0,1919,\N,166,"Drama,Horror,War"
tt0010600,movie,The Doll,Die Puppe,0,1919,\N,66,"Comedy,Fantasy,Romance"
tt0011439,movie,The Mark of Zorro,The Mark of Zorro,0,1920,\N,79,"Adventure,Drama,Romance"
tt0011607,movie,The Parson's Widow,Prästänkan,0,1920,\N,94,"Comedy,Drama"
tt0011841,movie,Way Down East,Way Down East,0,1920,\N,145,"Drama,Romance"
tt0012349,movie,The Kid,The Kid,0,1921,\N,68,"Comedy,Drama,Family"
tt0012494,movie,Destiny,Der müde Tod,0,1921,\N,114,"Drama,Fantasy,Horror"
tt0012532,movie,Orphans of the Storm,Orphans of the Storm,0,1921,\N,150,"Drama,History,Romance"
tt0013257,movie,Häxan,Häxan,0,1922,\N,91,"Documentary,Fantasy,Horror"
tt0013556,movie,Robin Hood,Robin Hood,0,1922,\N,143,"Adventure,Family,Romance"
tt0013933,movie,The Faithful Heart,Coeur fidèle,0,1923,\N,87,"Drama,Romance"
tt0014109,movie,The Saga of Gösta Berling,Gösta Berlings saga,0,1924,\N,183,"Drama,Romance"
tt0014142,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1923,\N,133,"Drama,Horror,Romance"
tt0014341,movie,Our Hospitality,Our Hospitality,0,1923,\N,65,"Comedy,Romance,Thriller"
tt0014358,movie,The Pilgrim,The Pilgrim,0,1923,\N,47,"Comedy,Western"
tt0014429,movie,Safety Last!,Safety Last!,0,1923,\N,74,"Action,Comedy,Romance"
tt0014538,movie,Three Ages,Three Ages,0,1923,\N,63,Comedy
tt0014611,movie,Why Worry?,Why Worry?,0,1923,\N,63,"Adventure,Comedy,Family"
tt0014945,movie,Girl Shy,Girl Shy,0,1924,\N,87,"Comedy,Romance"
tt0014972,movie,He Who Gets Slapped,He Who Gets Slapped,0,1924,\N,95,"Drama,Horror,Romance"
tt0015016,movie,The Iron Horse,The Iron Horse,0,1924,\N,150,"Drama,History,Romance"
tt0015064,movie,The Last Laugh,Der letzte Mann,0,1924,\N,90,Drama
tt0015163,movie,The Navigator,The Navigator,0,1924,\N,59,"Action,Adventure,Comedy"
tt0015174,movie,Die Nibelungen: Kriemhild's Revenge,Die Nibelungen: Kriemhilds Rache,0,1924,\N,129,"Adventure,Drama,Fantasy"
tt0015175,movie,Die Nibelungen: Siegfried,Die Nibelungen: Siegfried,0,1924,\N,100,"Adventure,Drama,Fantasy"
tt0015214,movie,Paris Asleep,Paris qui dort,0,1925,\N,59,"Comedy,Sci-Fi"
tt0015224,movie,Peter Pan,Peter Pan,0,1924,\N,105,"Adventure,Family,Fantasy"
tt0015361,movie,Strike,Stachka,0,1925,\N,82,Drama
tt0015400,movie,The Thief of Bagdad,The Thief of Bagdad,0,1924,\N,155,"Adventure,Family,Fantasy"
tt0015841,movie,The Freshman,The Freshman,0,1925,\N,77,"Comedy,Family,Romance"
tt0015842,movie,The Joyless Street,Die freudlose Gasse,0,1925,\N,125,Drama
tt0015863,movie,Go West,Go West,0,1925,\N,83,"Comedy,Western"
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,\N,95,"Adventure,Comedy,Drama"
tt0015881,movie,Greed,Greed,0,1924,\N,140,"Drama,Thriller,Western"
tt0016029,movie,The Little Colonel,The Little Colonel,0,1935,\N,81,"Comedy,Family,Musical"
tt0016220,movie,The Phantom of the Opera,The Phantom of the Opera,0,1925,\N,93,"Horror,Music"
tt0016332,movie,Seven Chances,Seven Chances,0,1925,\N,56,"Comedy,Romance"
tt0016481,movie,Variety,Varieté,0,1925,\N,72,"Crime,Drama,Romance"
tt0016544,movie,The Wizard of Oz,The Wizard of Oz,0,1925,\N,95,"Adventure,Comedy,Family"
tt0016630,movie,Battling Butler,Battling Butler,0,1926,\N,77,"Comedy,Romance,Sport"
tt0016641,movie,Ben-Hur: A Tale of the Christ,Ben-Hur A Tale of the Christ,0,1925,\N,143,"Action,Adventure,Drama"
tt0016847,movie,Faust,Faust: Eine deutsche Volkssage,0,1926,\N,107,"Drama,Fantasy,Horror"
tt0017048,movie,A Page of Madness,Kurutta ichipêji,0,1926,\N,70,"Drama,Horror,Thriller"
tt0017136,movie,Metropolis,Metropolis,0,1927,\N,153,"Drama,Sci-Fi"
tt0017271,movie,By the Law,Po zakonu,0,1926,\N,80,"Action,Drama,Mystery"
tt0017350,movie,The Scarlet Letter,The Scarlet Letter,0,1926,\N,115,Drama
tt0017463,movie,3 Bad Men,3 Bad Men,0,1926,\N,122,"Drama,Romance,Western"
tt0017925,movie,The General,The General,0,1926,\N,78,"Action,Adventure,Comedy"
tt0017961,movie,Happiness,Schaste,0,1935,\N,95,"Comedy,Drama"
tt0018054,movie,The King of Kings,The King of Kings,0,1927,\N,160,"Biography,Drama,Family"
tt0018066,movie,The End of St. Petersburg,Konets Sankt-Peterburga,0,1927,\N,85,Drama
tt0018192,movie,Napoleon,Napoléon vu par Abel Gance,0,1927,\N,330,"Biography,Drama,History"
tt0018379,movie,7th Heaven,7th Heaven,0,1927,\N,110,"Drama,Romance"
tt0018451,movie,The Student Prince in Old Heidelberg,The Student Prince in Old Heidelberg,0,1927,\N,106,"Drama,Romance"
tt0018526,movie,Underworld,Underworld,0,1927,\N,80,"Crime,Drama,Film-Noir"
tt0018528,movie,The Unknown,The Unknown,0,1927,\N,68,"Drama,Horror,Romance"
tt0018578,movie,Wings,Wings,0,1927,\N,144,"Action,Drama,Romance"
tt0018684,movie,Beggars of Life,Beggars of Life,0,1928,\N,84,"Adventure,Crime,Drama"
tt0018737,movie,Pandora's Box,Die Büchse der Pandora,0,1929,\N,109,"Crime,Drama,Romance"
tt0018742,movie,The Cameraman,The Cameraman,0,1928,\N,76,"Comedy,Drama,Family"
tt0018773,movie,The Circus,The Circus,0,1928,\N,72,"Comedy,Family,Romance"
tt0018806,movie,The Crowd,The Crowd,0,1928,\N,98,"Drama,Romance"
tt0018839,movie,The Docks of New York,The Docks of New York,0,1928,\N,76,"Crime,Drama,Film-Noir"
tt0018876,movie,The Farmer's Wife,The Farmer's Wife,0,1928,\N,129,"Comedy,Drama,Romance"
