tconst,directors,writers
tt0003740,nm0665163,"nm0195339,nm0515385,nm0665163,nm0758215"
tt0008663,nm0803705,"nm0406585,nm0596410,nm0803705"
tt0009369,"nm0428059,nm0949648","nm0215874,nm0370271"
tt0010307,nm0304098,nm0304098
tt0010600,nm0523932,"nm0006782,nm0473134,nm0523932,nm0932559"
tt0011439,nm0629243,"nm0191547,nm0001196,nm1491939"
tt0011607,nm0003433,"nm0003433,nm0418114"
tt0011841,nm0000428,"nm0662461,nm0103755,nm0342604,nm0446189,nm0000428"
tt0012349,nm0000122,nm0000122
tt0012494,nm0000485,"nm0000485,nm0902376"
tt0012532,nm0000428,"nm0257866,nm0180077,nm0000428"
tt0013257,nm0159725,nm0159725
tt0013556,nm0245385,"nm0001196,nm0202617,nm0245385,nm0461241,nm0940689"
tt0013933,nm0258477,"nm0258477,nm0258506"
tt0014109,nm0830249,"nm0405147,nm0481248,nm0830249"
tt0014142,nm0941637,"nm0401076,nm0790622,nm0522871,nm0730929"
tt0014341,"nm0090007,nm0000036","nm0369841,nm0115669,nm0593477"
tt0014358,nm0000122,nm0000122
tt0014429,"nm0628345,nm0853130","nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001"
tt0014538,"nm0166836,nm0000036","nm0115669,nm0593477,nm0369841,nm0000036"
tt0014611,"nm0628345,nm0853130","nm0853130,nm0928514,nm0924065,nm0907778"
tt0014945,"nm0628345,nm0853130","nm0853130,nm0928514,nm0924065,nm0336984,nm0516001"
tt0014972,nm0803705,"nm0028916,nm0933133,nm0803705,nm0014703"
tt0015016,nm0000406,"nm0448981,nm0751246,nm0201544"
tt0015064,nm0003638,nm0562346
tt0015163,"nm0187981,nm0000036","nm0115669,nm0593477,nm0369841"
tt0015174,nm0000485,nm0902376
tt0015175,nm0000485,"nm0000485,nm0902376"
tt0015214,nm0163229,nm0163229
tt0015224,nm0107543,"nm0057381,nm0325135"
tt0015361,nm0001178,"nm0017893,nm0001178,nm0470402,nm0687244"
tt0015400,nm0909825,"nm0940689,nm0001196,nm0008280,nm0640884"
tt0015841,"nm0628345,nm0853130","nm0853130,nm0928514,nm0340599,nm0924065,nm0336984,nm0516001"
tt0015842,nm0655065,"nm0079278,nm0352026,nm1680388"
tt0015863,nm0000036,"nm0000036,nm0623640,nm0134252"
tt0015864,nm0000122,nm0000122
tt0015881,nm0002233,"nm0558923,nm0002233,nm0635805,nm0267868"
tt0016029,nm0124877,"nm0175902,nm0426531,nm0124877"
tt0016220,"nm0432216,nm0151606,nm0290926,nm0781292","nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473"
tt0016332,nm0000036,"nm0576362,nm0115669,nm0369841,nm0593477"
tt0016481,nm0243295,"nm0390586,nm0243295"
tt0016544,nm0783865,"nm0000875,nm0062091,nm0497736,nm0783865"
tt0016630,nm0000036,"nm0809548,nm0090213,nm0807667,nm0623640,nm0109209,nm0577650"
tt0016641,"nm0629243,nm0102643,nm0127511,nm0169905,nm0002271","nm0908753,nm0558923,nm0933133,nm0385012,nm0129721"
tt0016847,nm0003638,"nm0369458,nm0477515,nm0324473"
tt0017048,nm0455938,"nm0442704,nm0455938,nm0409467,nm2396540,nm1273449"
tt0017136,nm0000485,"nm0902376,nm0000485"
