tconst,averageRating,numVotes
tt0003740,7.1,4320
tt0008663,7.3,2554
tt0009369,6.1,1219
tt0010307,7.7,2384
tt0010600,7.4,2646
tt0011439,7.0,3064
tt0011607,7.1,1645
tt0011841,7.3,6276
tt0012349,8.2,145005
tt0012494,7.6,7310
tt0012532,7.3,5744
tt0013257,7.6,19011
tt0013556,7.0,2668
tt0013933,7.4,1587
tt0014109,7.0,1529
tt0014142,7.2,6769
tt0014341,7.7,13466
tt0014358,7.2,6171
tt0014429,8.1,24718
tt0014538,7.0,5728
tt0014611,7.3,2250
tt0014945,7.7,3922
tt0014972,7.7,4844
tt0015016,7.2,2752
tt0015064,8.0,16429
tt0015163,7.5,11995
tt0015174,7.9,5523
tt0015175,8.1,7219
tt0015214,7.1,2126
tt0015224,7.1,1479
tt0015361,7.6,9421
tt0015400,7.7,7620
tt0015841,7.5,6565
tt0015842,7.1,1864
tt0015863,7.1,5550
tt0015864,8.1,127648
tt0015881,8.0,11538
tt0016029,7.0,2063
tt0016220,7.5,22086
tt0016332,7.8,13061
tt0016481,7.4,1559
tt0016544,4.9,1930
tt0016630,7.0,4382
tt0016641,7.8,8352
tt0016847,8.1,18168
tt0017048,7.3,5322
tt0017136,8.2,200211
tt0017271,7.6,1347
tt0017350,7.6,2137
tt0017463,7.5,1691
tt0017925,8.1,105755
tt0017961,7.3,1272
tt0018054,7.3,2663
tt0018066,7.3,1974
tt0018192,8.2,9727
tt0018379,7.5,4631
tt0018451,7.5,1815
tt0018526,7.5,3851
tt0018528,7.7,10218
tt0018578,7.5,16099
tt0018684,7.5,1518
tt0018737,7.7,12857
tt0018742,8.0,14447
tt0018773,8.1,38371
tt0018806,8.0,9960
tt0018839,7.5,5465
tt0018876,5.8,3420
tt0019074,7.5,2294
tt0019109,7.7,2931
tt0019379,7.6,4233
tt0019412,7.6,4756
tt0019421,7.8,17433
tt0019429,7.3,2788
tt0019655,7.4,1834
tt0019788,5.5,2494
tt0019901,7.3,4199
tt0020018,5.5,1494
tt0020122,7.6,1681
tt0020298,7.1,3531
tt0020768,7.7,4029
tt0020793,7.5,1339
tt0021015,4.6,2804
tt0021309,7.6,1745
tt0021409,7.0,2661
tt0021730,7.2,3957
tt0021739,7.5,5300
tt0021884,7.7,87480
tt0022074,7.1,4393
tt0022080,7.0,3238
tt0022100,8.3,182075
tt0022125,7.8,2846
tt0022150,7.3,4050
tt0022153,7.2,2717
tt0022395,5.7,3940
tt0022436,7.6,2388
tt0022458,7.4,6868
tt0022485,7.1,1695
tt0022550,7.4,3425
tt0022599,7.4,5297
tt0022626,7.4,2612
tt0022787,7.7,1917
tt0022802,6.7,1424
tt0022913,7.8,54469
tt0023241,7.1,1819
tt0023293,7.0,14661
tt0023303,7.0,3216
tt0023395,5.7,5353
tt0023622,7.9,17348
tt0023634,7.8,6708
tt0023649,7.4,22658
tt0023686,7.0,2904
tt0023775,7.5,9085
tt0023871,7.7,1624
tt0023876,5.8,6588
tt0023937,7.2,1590
tt0023940,7.4,8533
tt0023943,7.0,2213
tt0023969,7.7,65228
tt0023973,7.0,1524
tt0023986,7.2,1844
tt0024028,7.5,6606
tt0024127,5.5,1898
tt0024183,6.9,1561
tt0024184,7.6,43846
tt0024188,7.3,12185
tt0024216,7.9,95537
tt0024240,7.4,5190
tt0024264,7.1,8503
tt0024481,7.5,9274
tt0024593,5.6,5770
tt0024617,7.1,2164
tt0024844,7.7,18577
tt0024852,7.1,8232
tt0024902,5.3,1907
tt0024966,7.0,1590
tt0025028,7.0,2639
tt0025164,7.3,9293
tt0025318,7.1,6065
tt0025410,7.0,1543
tt0025440,5.6,1510
tt0025455,5.2,1384
tt0025464,7.1,5231
tt0025699,5.3,1319
tt0025746,7.5,7899
tt0025862,7.2,6021
tt0025898,7.2,2280
tt0025913,7.1,19613
tt0025929,7.6,3779
tt0026029,7.6,65822
tt0026104,5.8,1462
tt0026267,5.1,1445
tt0026424,7.4,1799
tt0026529,7.3,7816
tt0026725,7.6,4201
tt0027075,7.8,6869
tt0027118,7.4,1820
tt0027214,7.3,3800
tt0027307,7.3,1436
tt0027336,7.5,3910
tt0027342,7.5,1602
tt0027438,7.0,5807
tt0027441,7.1,1716
tt0027442,6.9,1921
tt0027478,7.2,4041
tt0027532,7.7,11036
tt0027652,7.8,14730
tt0027657,5.8,1845
tt0027672,7.4,3248
tt0027914,6.0,1461
tt0027977,8.5,284162
tt0028021,7.2,2790
tt0028070,7.3,3751
tt0028096,7.5,15899
tt0028141,7.2,2823
tt0028167,7.0,2200
tt0028212,7.0,20495
tt0028216,7.1,6549
tt0028249,7.4,4044
tt0028313,7.2,3501
tt0028315,7.1,1598
tt0028333,7.4,15525
tt0028346,3.7,9852
tt0028355,7.1,3244
tt0028356,7.4,3471
tt0028575,7.2,3712
tt0028683,7.3,9457
tt0028708,7.0,1962
tt0028737,7.3,1372
tt0028772,7.5,15306
tt0028773,7.2,9542
tt0028816,7.5,4693
tt0028944,7.5,5737
tt0028988,7.2,5364
tt0029146,7.1,9931
tt0029192,8.1,10556
tt0029217,7.1,5470
tt0029284,7.2,12586
tt0029310,7.2,3306
tt0029314,7.6,2452
tt0029440,7.2,3153
tt0029442,7.6,5425
tt0029608,7.4,6958
tt0029658,7.2,2136
tt0029747,7.6,9547
tt0029844,7.0,2480
tt0029850,7.5,13106
tt0029942,7.2,6894
tt0029947,7.8,70173
tt0029957,7.5,8982
tt0029995,7.0,2586
tt0030044,7.5,3627
tt0030127,7.5,2688
tt0030241,7.7,20050
tt0030252,7.5,3588
tt0030287,7.4,16278
tt0030341,7.7,61110
tt0030522,7.7,5703
tt0030637,7.7,10440
tt0030643,7.7,10830
tt0031002,7.3,1852
tt0031022,7.2,8131
tt0031088,7.5,7068
tt0031143,7.1,4230
tt0031147,7.2,2019
tt0031149,7.0,1640
tt0031210,7.4,13355
tt0031225,7.6,13431
tt0031235,7.1,6291
tt0031334,7.4,7061
tt0031359,7.3,5868
tt0031381,8.2,355045
tt0031385,7.9,12299
tt0031387,4.8,1826
tt0031398,7.2,13573
tt0031477,7.0,3905
tt0031507,7.0,5396
tt0031514,7.7,8845
tt0031580,7.2,7274
tt0031619,7.0,2237
tt0031647,7.8,6384
tt0031750,7.4,4328
