genre_source_file,rows,unique_tconst,missing_year_pct,missing_runtime_pct,missing_rating_pct,missing_votes_pct,missing_gross_pct
thriller,53365,53362,25.24,33.68,39.95,39.95,93.32
romance,52617,52617,7.8,21.94,29.01,29.01,92.26
action,52452,52452,19.39,37.98,43.86,43.85,94.74
horror,36682,36682,26.61,36.31,42.32,42.32,96.33
crime,35852,35852,12.14,22.93,32.11,32.11,92.68
adventure,25664,25664,16.73,28.11,33.44,33.44,91.86
mystery,18960,18960,12.99,20.32,31.85,31.85,92.68
fantasy,17163,17163,19.29,30.06,39.13,39.13,91.78
family,17095,17095,11.1,22.86,31.49,31.49,92.75
scifi,16557,16557,31.15,37.61,45.37,45.37,92.6
war,9911,9911,10.29,21.76,29.26,29.26,92.92
history,8996,8996,16.7,28.42,38.83,38.82,92.84
animation,8419,8419,18.42,29.84,43.45,43.45,93.18
biography,8289,8289,27.94,37.62,47.16,47.16,89.37
sports,5292,5292,13.1,27.78,48.17,48.17,90.97
film-noir,986,986,0.0,0.1,0.2,0.2,96.15
