stage,column,dtype,non_null,missing_pct,unique_non_null
clean,tconst,string,368300,0.0,243197
clean,genre_movie_title,str,368296,0.0,213857
clean,year,object,315052,14.46,225
clean,genre_certificate,str,104191,71.71,44
clean,runtime,str,259146,29.64,365
clean,genre_text,str,368300,0.0,1749
clean,genre_rating,float64,230938,37.3,91
clean,genre_description,str,368300,0.0,186842
clean,genre_director,str,340931,7.43,103525
clean,genre_director_id,str,340931,7.43,96502
clean,genre_star,str,309605,15.94,197392
clean,genre_star_id,str,316442,14.08,202488
clean,genre_votes,float64,230942,37.3,18648
clean,genre_gross_usd,Float64,25039,93.2,11541
clean,genre_source_file,str,368300,0.0,16
clean,genre_source_tag,str,368300,0.0,16
clean,genre_title_key,str,368300,0.0,212543
clean,genre_year,float64,302240,17.94,127
clean,genre_runtime_minutes,Int64,259146,29.64,356
