group_type,group_value,total,matched,coverage_pct,status
decade,1910s,2,1,50.0,warn
decade,1920s,52,41,78.85,warn
decade,1930s,129,101,78.29,warn
decade,1940s,171,144,84.21,ok
decade,1950s,241,190,78.84,warn
decade,1960s,344,249,72.38,warn
decade,1970s,388,304,78.35,warn
decade,1980s,588,441,75.0,warn
decade,1990s,1499,1141,76.12,warn
decade,2000s,1611,1221,75.79,warn
decade,2010s,2589,1868,72.15,warn
decade,2020s,345,257,74.49,warn
titleType,movie,7940,5954,74.99,warn
titleType,short,1,0,0.0,low
titleType,tvEpisode,2,0,0.0,low
titleType,tvMiniSeries,1,0,0.0,low
titleType,tvMovie,8,2,25.0,low
titleType,video,6,2,33.33,low
