genre_token,matched_movies,median_year,median_runtime_minutes,median_rating,median_votes_log1p,median_gross_log1p,votes_iqr,runtime_iqr,median_votes,median_gross_usd
drama,89116,1999.0,95.0,6.2,5.10594547390058,14.128147403761243,3.302570805473833,25.0,163.99999999999994,1367023.9999999993
thriller,53371,2011.0,93.0,5.7,5.627621113690637,15.315299885208603,3.4645559616598773,21.0,276.99999999999994,4480743.999999996
romance,52629,1996.0,95.0,6.2,5.017279836814924,14.352004513273993,3.182508136801576,25.0,150.0,1709999.9999999998
action,52478,1999.0,94.0,5.8,4.890349128221754,16.210808297947413,3.434515885438512,26.0,132.0,10971463.216394274
comedy,43621,2005.0,93.0,6.0,5.407171771460119,15.423573006134069,3.2418746194877213,20.0,222.00000000000003,4993126.406265535
horror,36687,2013.0,89.0,5.0,5.247024072160486,15.030217939996854,3.268617916763015,16.0,189.0,3369307.0000000023
crime,35866,1993.0,92.0,6.1,5.181783550292085,14.81112102854056,3.3830856317191094,22.0,176.99999999999997,2706374.999999999
adventure,25691,1990.0,90.0,5.9,4.897839799950911,16.66177170216242,3.594000215923693,22.0,132.99999999999997,17223265.000000022
mystery,18964,2008.0,91.0,6.0,5.537334267018537,15.144659426070735,3.481240089335692,24.0,253.0,3777825.5901044183
fantasy,17180,2008.0,91.0,6.1,5.375278407684165,16.35993561737611,3.6857495611050086,22.0,215.00000000000006,12735902.592790604
family,17135,2007.0,90.0,6.2,4.77912349311153,16.76542666812126,3.0101440522152947,21.0,118.00000000000003,19104350.000000022
science fiction,16560,2011.0,90.0,5.6,5.8664680569332965,16.37948350104757,3.658660029023091,20.0,351.99999999999994,12987311.808069162
war,9912,1976.0,96.0,6.4,5.030437921392435,14.151983508870947,3.297892365186425,25.0,151.99999999999997,1400000.0000000007
history,9012,2002.0,101.0,6.6,5.170483995038151,14.245516628770227,3.534699818169174,32.0,174.99999999999991,1537265.8559687345
animation,8424,2013.0,81.0,6.5,5.14166355650266,16.54723706084883,3.543027577101373,22.0,170.00000000000009,15359381.158961203
biography,8291,2009.0,103.0,6.7,5.87493073085203,14.991806774571025,4.19098323561806,30.0,355.0,3242341.9999999986
sport,5294,2010.0,91.0,6.2,5.598421958998375,15.897511227143564,3.597576229186002,22.0,269.00000000000006,8020498.238890928
musical,4077,1971.0,96.0,6.3,4.634728988229636,14.904523924028103,2.8253392876253103,34.0,102.00000000000001,2971339.9999999977
music,3744,1975.5,88.0,6.3,5.135798437050262,14.91766614089035,3.096163855066203,29.0,169.00000000000006,3010647.7374378284
western,1951,1966.0,88.0,6.0,5.000579289854787,15.123204629845375,3.1519815900381705,27.0,147.4991582467726,3697636.3878913485
film noir,986,1949.0,81.0,6.4,6.560320948252994,14.531708075205604,2.290153621073432,21.0,705.4984076415177,2046635.0973707568
reality-tv,32,2018.0,71.0,6.45,3.5400132499612953,,1.9995300333206307,31.75,33.46737587922818,
news,22,2012.5,67.5,6.449999999999999,2.9174053685313024,,1.098706042519813,17.75,17.493242008906925,
adult,7,1994.0,104.0,5.7,7.660161397894914,15.623292434759794,1.6231672951368097,27.0,2121.099903397575,6096907.727799598
game-show,6,2020.5,45.0,,,,,31.0,,
talk-show,5,2019.0,53.0,,,,,17.25,,
short,2,2005.0,5.0,,,,,0.0,,
