tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,numVotes_log1p,label,genres,titleType,isAdult,dir_count,dir_avg_birth_year,dir_min_birth_year,dir_avg_death_year,dir_professions,wri_count,wri_avg_birth_year,wri_min_birth_year,wri_avg_death_year,wri_professions,startYear_was_missing,runtimeMinutes_was_missing,numVotes_was_missing,genre_year_direct,genre_runtime_direct,genre_votes_direct,genre_rating_direct,genre_gross_direct,genre_external_rows,genre_source_file_count,genre_title_variant_count,genre_year_variant_count,genre_runtime_variant_count,genre_votes_variant_count,genre_rating_variant_count,genre_title_external,genre_title_key_external,genre_token_count,genre_labels,genre_match_flag,genre_title_key,genre_title_exact,genre_year_abs_diff,genre_runtime_abs_diff,genre_center_year,genre_center_runtime,genre_center_rating,genre_center_votes,genre_center_gross_usd,genre_fill_startYear,genre_fill_runtimeMinutes,genre_fill_numVotes,genre_fill_startYear_source,genre_fill_runtime_source,genre_fill_numVotes_source,title_key,rt_id,rt_movie_title,rt_year,rt_tomatometer_rating,rt_tomatometer_count,rt_audience_rating,rt_audience_count,rt_runtime_minutes,rt_high,rt_certified_fresh,candidate_count,year_diff,runtime_diff,rt_match_flag,rt_tomatometer_missing,rt_audience_missing,rt_score_gap,rt_score_gap_abs,rt_popularity_log1p,oscar_was_nominated,oscar_was_winner,oscar_num_nominations,oscar_num_wins
tt0338216,Lucky You,,2007,124,9.926227039505617,False,Drama Romance Sport,movie,0.0,1,1945.0,1945.0,2016.0,director producer writer,2,1945.0,1945.0,2016.0,"director producer writer,producer writer script_department",0,0,0,2007.0,124.0,20792.0,5.9,5755286.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,Lucky You,lucky you,3.0,drama|romance|sport,1,lucky you,1,0.0,0.0,1999.0,95.0,6.2,163.99999999999994,1709999.9999999998,2007.0,124.0,20792.0,direct_tconst,direct_tconst,direct_tconst,lucky you,9310.0,Lucky You,2007.0,29,142,28.0,207241.0,124.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1.0,1.0,4.962844630259907,0,0,0,0
tt0044314,5 Fingers,5 Fingers,1952,108,8.433594167539924,True,Crime Drama Romance,movie,0.0,1,1909.0,1909.0,1993.0,writer producer director,3,1911.5,1909.0,1985.5,"writer,writer producer director,writer archive_footage",0,0,0,1952.0,108.0,5156.0,7.7,,4.0,4.0,1.0,1.0,1.0,2.0,1.0,5 Fingers,5 fingers,6.0,crime|drama|music|mystery|romance|thriller,1,5 fingers,1,0.0,0.0,1997.5,92.5,6.15,173.0,2858511.3687189138,1952.0,108.0,5156.0,direct_tconst,direct_tconst,direct_tconst,5 fingers,,,,,,,,,,,,,,0,1,1,,,0.0,0,0,0,0
tt7230750,The Velvet Underground,The Velvet Underground,2021,121,7.732807530422021,True,Documentary Music,movie,0.0,1,1961.0,1961.0,,director producer writer,1,1961.0,1961.0,,director producer writer,0,0,0,,,,,,,,,,,,,,,,,0,the velvet underground,0,,,,,,,,,,,none,none,none,the velvet underground,,,,,,,,,,,,,,0,1,1,,,0.0,0,0,0,0
tt0217756,Ready to Rumble,,2000,107,9.55463904484686,False,Comedy Sport,movie,0.0,1,1963.0,1963.0,,producer actor writer,1,1962.0,1962.0,,writer producer actor,0,0,0,2000.0,107.0,14681.0,5.3,12372410.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Ready to Rumble,ready to rumble,2.0,comedy|sport,1,ready to rumble,1,0.0,0.0,2007.5,92.0,6.1,245.50000000000006,6506812.322578232,2000.0,107.0,14681.0,direct_tconst,direct_tconst,direct_tconst,ready to rumble,11617.0,Ready to Rumble,2000.0,23,70,52.0,33549.0,106.0,0.0,0.0,1.0,0.0,1.0,1,0,0,-29.0,29.0,4.2626798770413155,0,0,0,0
tt0087481,Double Trouble,,1984,99,9.197660318818809,True,Action Comedy,movie,0.0,1,1922.0,1922.0,2002.0,cinematographer director writer,1,1952.0,1952.0,,writer,0,0,0,1984.0,99.0,10650.0,7.1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Double Trouble,double trouble,2.0,action|comedy,1,double trouble,1,0.0,0.0,2002.0,93.5,5.9,177.0,7982294.811329903,1984.0,99.0,10650.0,direct_tconst,direct_tconst,direct_tconst,double trouble,,,,,,,,,,,,,,0,1,1,,,0.0,0,0,0,0
tt0120910,Fantasia 2000,Fantasia 2000,1999,75,10.523875850511647,True,Animation Family Fantasy,movie,0.0,8,1947.857142857143,1912.0,1998.0,"director writer producer,animation_department director art_department,animation_department art_department art_director,animation_department director writer,producer director writer,art_department director animation_department,animation_department art_department director",13,1924.0,1805.0,1968.6,"writer miscellaneous actor,animation_department art_department writer,animation_department writer art_department,visual_effects miscellaneous writer,writer music_department miscellaneous,writer producer director,animation_department director writer,producer director writer,writer animation_department art_department,animation_department art_department director,writer script_department miscellaneous,art_department writer assistant_director",0,0,0,1999.0,75.0,39447.0,7.1,60655420.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,Fantasia 2000,fantasia 2000,3.0,animation|family|fantasy,1,fantasia 2000,1,0.0,0.0,2008.0,90.0,6.2,170.00000000000006,15359381.158961203,1999.0,75.0,39447.0,direct_tconst,direct_tconst,direct_tconst,fantasia 2000,5941.0,Fantasia 2000,2000.0,81,83,75.0,62478.0,90.0,1.0,1.0,1.0,1.0,15.0,1,0,0,6.0,6.0,4.430816798843313,0,0,0,0
tt0337578,Baghban,Baghban,2003,181,9.452250500864757,True,Drama Romance,movie,0.0,1,1946.0,1946.0,2014.0,director producer writer,8,1898.75,1889.0,1996.6,"actor writer miscellaneous,script_department writer,writer,writer actor director,writer actress,producer director writer,writer assistant_director",0,0,0,2003.0,181.0,16808.0,7.4,1100000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Baghban,baghban,2.0,drama|romance,1,baghban,1,0.0,0.0,1997.5,95.0,6.2,156.99999999999997,1538511.9999999995,2003.0,181.0,16808.0,direct_tconst,direct_tconst,direct_tconst,baghban,,,,,,,,,,,,,,0,1,1,,,0.0,0,0,0,0
tt0449059,Little Miss Sunshine,Little Miss Sunshine,2006,101,13.036635539961633,True,Comedy Drama,movie,0.0,2,1957.5,1957.0,,director producer writer,1,1965.0,1965.0,,writer miscellaneous producer,0,0,0,,,,,,,,,,,,,,,,,0,little miss sunshine,0,,,,,,,,,,,none,none,none,little miss sunshine,9048.0,Little Miss Sunshine,2006.0,91,214,91.0,426942.0,110.0,1.0,1.0,1.0,0.0,9.0,1,0,0,0.0,0.0,5.3706380281276624,1,1,4,2
tt2511190,A Talking Cat,,2013,85,7.307872780763706,False,Comedy Family Fantasy,movie,0.0,1,1962.0,1962.0,,director producer cinematographer,1,,,,miscellaneous writer actor,0,0,0,2013.0,85.0,1644.0,2.1,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,A Talking Cat!?!,a talking cat,3.0,comedy|family|fantasy,1,a talking cat,1,0.0,0.0,2007.0,91.0,6.1,215.00000000000006,12735902.592790604,2013.0,85.0,1644.0,direct_tconst,direct_tconst,direct_tconst,a talking cat,,,,,,,,,,,,,,0,1,1,,,0.0,0,0,0,0
tt1520498,The Oogieloves in the Big Balloon Adventure,,2012,88,9.635150486348124,False,Adventure Family Fantasy,movie,0.0,1,1951.0,1951.0,,director producer production_department,4,,,,"writer manager,producer director writer,producer writer,writer actor music_department",0,0,0,2012.0,88.0,15400.0,1.7,1064277.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,The Oogieloves in the Big Balloon Adventure,the oogieloves in the big balloon adventure,3.0,adventure|family|fantasy,1,the oogieloves in the big balloon adventure,1,0.0,0.0,2007.0,90.0,6.1,132.99999999999997,17223265.000000022,2012.0,88.0,15400.0,direct_tconst,direct_tconst,direct_tconst,the oogieloves in the big balloon adventure,14639.0,The Oogieloves in The Big Balloon Adventure,2012.0,27,22,63.0,4899.0,86.0,0.0,0.0,1.0,0.0,2.0,1,0,0,-36.0,36.0,3.1354942159291497,0,0,0,0
tt0018192,Napoleon,Napoleon vu par Abel Gance,1927,330,8.938925271988273,True,Biography Drama History,movie,0.0,1,1889.0,1889.0,1981.0,writer director editor,1,1889.0,1889.0,1981.0,writer director editor,0,0,0,1927.0,330.0,8045.0,8.2,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,Napoleon,napoleon,4.0,biography|drama|history|war,1,napoleon,1,0.0,0.0,2000.5,98.5,6.5,169.49999999999994,1468632.9279843676,1927.0,330.0,8045.0,direct_tconst,direct_tconst,direct_tconst,napoleon,,,,,,,,,,,,,,0,1,1,,,0.0,0,0,0,0
tt0079788,Zombie Holocaust,Zombi Holocaust,1980,84,8.57922858233569,False,Adventure Horror Mystery,movie,0.0,1,1914.0,1914.0,1994.0,director writer producer,2,1939.0,1938.0,2010.0,"producer writer director,assistant_director writer director",0,0,0,1980.0,84.0,5586.0,5.2,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,Zombie Holocaust,zombie holocaust,5.0,adventure|horror|mystery|science fiction|thriller,1,zombie holocaust,1,0.0,0.0,2011.0,90.0,5.7,253.0,4480743.999999996,1980.0,84.0,5586.0,direct_tconst,direct_tconst,direct_tconst,zombie holocaust,,,,,,,,,,,,,,0,1,1,,,0.0,0,0,0,0
