year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,title_key
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Noose,False,the noose
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Patent Leather Kid,False,the patent leather kid
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,True,the last command
1927,1928,1,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Way of All Flesh,True,the way of all flesh
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Louise Dresser,A Ship Comes In,False,a ship comes in
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,7th Heaven,True,7th heaven
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Street Angel,True,street angel
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Sunrise,True,sunrise
1927,1928,1,ACTRESS,ACTRESS IN A LEADING ROLE,Gloria Swanson,Sadie Thompson,False,sadie thompson
1927,1928,1,ART DIRECTION,ART DIRECTION,Rochus Gliese,Sunrise,False,sunrise
1927,1928,1,ART DIRECTION,ART DIRECTION,William Cameron Menzies,The Dove,True,the dove
1927,1928,1,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Tempest,True,tempest
1927,1928,1,ART DIRECTION,ART DIRECTION,Harry Oliver,7th Heaven,False,7th heaven
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,The Devil Dancer,False,the devil dancer
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,The Magic Flame,False,the magic flame
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,Sadie Thompson,False,sadie thompson
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,Charles Rosher/Karl Struss,Sunrise,True,sunrise
1927,1928,1,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,two arabian knights
1927,1928,1,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Ted Wilde,Speedy,False,speedy
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,True,7th heaven
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False,sorrell and son
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),King Vidor,The Crowd,False,the crowd
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Ralph Hammeras,,False,
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Roy Pomeroy,Wings,True,wings
1927,1928,1,ENGINEERING EFFECTS,VISUAL EFFECTS,Nugent Slaughter,,False,
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,The Caddo Company,The Racket,False,the racket
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,Fox,7th Heaven,False,7th heaven
1927,1928,1,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,Wings,True,wings
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,True,sunrise
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,False,the crowd
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,False,chang
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Alfred Cohn,The Jazz Singer,False,the jazz singer
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Anthony Coldeway,Glorious Betsy,False,glorious betsy
1927,1928,1,WRITING (Adaptation),WRITING (Adapted Screenplay),Benjamin Glazer,7th Heaven,True,7th heaven
1927,1928,1,WRITING (Original Story),WRITING (Original Story),Lajos Biro,The Last Command,False,the last command
1927,1928,1,WRITING (Original Story),WRITING (Original Story),Ben Hecht,Underworld,True,underworld
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,False,the private life of helen of troy
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),Joseph Farnham,,True,
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),George Marion Jr.,,False,
1927,1928,1,SPECIAL AWARD,SPECIAL AWARD,Warner Bros.,The Jazz Singer,True,the jazz singer
1927,1928,1,SPECIAL AWARD,SPECIAL AWARD,Charles Chaplin,The Circus,True,the circus
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,George Bancroft,Thunderbolt,False,thunderbolt
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Warner Baxter,In Old Arizona,True,in old arizona
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Chester Morris,Alibi,False,alibi
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Paul Muni,The Valiant,False,the valiant
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Lewis Stone,The Patriot,False,the patriot
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Ruth Chatterton,Madame X,False,madame x
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Betty Compson,The Barker,False,the barker
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Jeanne Eagels,The Letter,False,the letter
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Corinne Griffith,The Divine Lady,False,the divine lady
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Bessie Love,The Broadway Melody,False,the broadway melody
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Mary Pickford,Coquette,True,coquette
1928,1929,2,ART DIRECTION,ART DIRECTION,Hans Dreier,The Patriot,False,the patriot
1928,1929,2,ART DIRECTION,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,True,the bridge of san luis rey
1928,1929,2,ART DIRECTION,ART DIRECTION,Mitchell Leisen,Dynamite,False,dynamite
1928,1929,2,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Alibi,False,alibi
1928,1929,2,ART DIRECTION,ART DIRECTION,William Cameron Menzies,The Awakening,False,the awakening
1928,1929,2,ART DIRECTION,ART DIRECTION,Harry Oliver,Street Angel,False,street angel
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,False,our dancing daughters
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,True,white shadows in the south seas
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,False,in old arizona
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Ernest Palmer,Four Devils,False,four devils
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Ernest Palmer,Street Angel,False,street angel
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,John Seitz,The Divine Lady,False,the divine lady
1928,1929,2,DIRECTING,DIRECTING,Lionel Barrymore,Madame X,False,madame x
1928,1929,2,DIRECTING,DIRECTING,Harry Beaumont,The Broadway Melody,False,the broadway melody
1928,1929,2,DIRECTING,DIRECTING,Irving Cummings,In Old Arizona,False,in old arizona
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,The Divine Lady,True,the divine lady
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,Drag,False,drag
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,Weary River,False,weary river
1928,1929,2,DIRECTING,DIRECTING,Ernst Lubitsch,The Patriot,False,the patriot
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Feature Productions,Alibi,False,alibi
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Fox,In Old Arizona,False,in old arizona
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,True,the broadway melody
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,False,hollywood revue
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,The Patriot,False,the patriot
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Tom Barry,In Old Arizona,False,in old arizona
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Tom Barry,The Valiant,False,the valiant
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Elliott Clawson,The Cop,False,the cop
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Elliott Clawson,The Leatherneck,False,the leatherneck
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Elliott Clawson,Sal of Singapore,False,sal of singapore
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Elliott Clawson,Skyscraper,False,skyscraper
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Hans Kraly,The Last of Mrs. Cheyney,False,the last of mrs cheyney
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Hans Kraly,The Patriot,True,the patriot
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Josephine Lovett,Our Dancing Daughters,False,our dancing daughters
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Bess Meredyth,A Woman of Affairs,False,a woman of affairs
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Bess Meredyth,Wonder of Women,False,wonder of women
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,George Arliss,Disraeli,True,disraeli
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,George Arliss,The Green Goddess,False,the green goddess
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Wallace Beery,The Big House,False,the big house
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Maurice Chevalier,The Big Pond,False,the big pond
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Maurice Chevalier,The Love Parade,False,the love parade
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Ronald Colman,Bulldog Drummond,False,bulldog drummond
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Ronald Colman,Condemned,False,condemned
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Lawrence Tibbett,The Rogue Song,False,the rogue song
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Nancy Carroll,The Devil's Holiday,False,the devil s holiday
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Ruth Chatterton,Sarah and Son,False,sarah and son
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Greta Garbo,Anna Christie,False,anna christie
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Greta Garbo,Romance,False,romance
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,The Divorcee,True,the divorcee
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,Their Own Desire,False,their own desire
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Gloria Swanson,The Trespasser,False,the trespasser
1929,1930,3,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Bulldog Drummond,False,bulldog drummond
1929,1930,3,ART DIRECTION,ART DIRECTION,Herman Rosse,King of Jazz,True,king of jazz
1929,1930,3,ART DIRECTION,ART DIRECTION,Hans Dreier,The Love Parade,False,the love parade
1929,1930,3,ART DIRECTION,ART DIRECTION,Jack Okey,Sally,False,sally
1929,1930,3,ART DIRECTION,ART DIRECTION,Hans Dreier,The Vagabond King,False,the vagabond king
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Arthur Edeson,All Quiet on the Western Front,False,all quiet on the western front
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,William Daniels,Anna Christie,False,anna christie
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Gaetano Gaudio/Harry Perry,Hell's Angels,False,hell s angels
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Victor Milner,The Love Parade,False,the love parade
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Joseph T. Rucker/Willard Van Der Veer,With Byrd at the South Pole,True,with byrd at the south pole
1929,1930,3,DIRECTING,DIRECTING,Clarence Brown,Anna Christie,False,anna christie
1929,1930,3,DIRECTING,DIRECTING,Clarence Brown,Romance,False,romance
1929,1930,3,DIRECTING,DIRECTING,Robert Leonard,The Divorcee,False,the divorcee
1929,1930,3,DIRECTING,DIRECTING,Ernst Lubitsch,The Love Parade,False,the love parade
1929,1930,3,DIRECTING,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True,all quiet on the western front
1929,1930,3,DIRECTING,DIRECTING,King Vidor,Hallelujah,False,hallelujah
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Universal,All Quiet on the Western Front,True,all quiet on the western front
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Cosmopolitan,The Big House,False,the big house
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Warner Bros.,Disraeli,False,disraeli
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,The Divorcee,False,the divorcee
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Famous Lasky,The Love Parade,False,the love parade
1929,1930,3,SOUND RECORDING,SOUND RECORDING,Metro-Goldwyn-Mayer/Douglas Shearer,The Big House,True,the big house
1929,1930,3,SOUND RECORDING,SOUND RECORDING,RKO Radio/John Tribby,The Case of Sergeant Grischa,False,the case of sergeant grischa
1929,1930,3,SOUND RECORDING,SOUND RECORDING,Paramount Famous Lasky/Franklin Hansen,The Love Parade,False,the love parade
1929,1930,3,SOUND RECORDING,SOUND RECORDING,United Artists/Oscar Lagerstrom,Raffles,False,raffles
1929,1930,3,SOUND RECORDING,SOUND RECORDING,First National/George Groves,Song of the Flame,False,song of the flame
1929,1930,3,WRITING,WRITING (Adapted Screenplay),George Abbott/Maxwell Anderson/Del Andrews,All Quiet on the Western Front,False,all quiet on the western front
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Frances Marion,The Big House,True,the big house
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Julian Josephson,Disraeli,False,disraeli
1929,1930,3,WRITING,WRITING (Adapted Screenplay),John Meehan,The Divorcee,False,the divorcee
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Howard Estabrook,Street of Chance,False,street of chance
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Lionel Barrymore,A Free Soul,True,a free soul
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Jackie Cooper,Skippy,False,skippy
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Richard Dix,Cimarron,False,cimarron
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Fredric March,The Royal Family of Broadway,False,the royal family of broadway
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Adolphe Menjou,The Front Page,False,the front page
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Marlene Dietrich,Morocco,False,morocco
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Marie Dressler,Min and Bill,True,min and bill
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Irene Dunne,Cimarron,False,cimarron
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Ann Harding,Holiday,False,holiday
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,A Free Soul,False,a free soul
1930,1931,4,ART DIRECTION,ART DIRECTION,Max Rée,Cimarron,True,cimarron
1930,1931,4,ART DIRECTION,ART DIRECTION,Stephen Goosson/Ralph Hammeras,Just Imagine,False,just imagine
