tconst,title_key,startYear,year_film,oscar_num_nominations,oscar_num_wins,oscar_was_nominated,oscar_was_winner,year_diff
tt0449059,little miss sunshine,2006,2006,4,2,1,1,0.0
tt0051087,the tin star,1957,1957,1,0,1,0,0.0
tt9784798,judas and the black messiah,2021,2020,6,2,1,1,1.0
tt0078748,alien,1979,1979,2,1,1,1,0.0
tt0042192,all about eve,1950,1950,14,6,1,1,0.0
tt0048140,guys and dolls,1955,1955,4,0,1,0,0.0
tt0055630,yojimbo,1961,1961,1,0,1,0,0.0
tt0203009,moulin rouge,2001,2001,8,2,1,1,0.0
tt0045205,sudden fear,1952,1952,4,0,1,0,0.0
tt2532528,dirty wars,2013,2013,1,0,1,0,0.0
tt0055277,the parent trap,1961,1961,2,0,1,0,0.0
tt0074291,fellini s casanova,1976,1976,2,1,1,1,0.0
tt0814075,deliver us from evil,2006,2006,1,0,1,0,0.0
tt2771200,beauty and the beast,2017,2017,2,0,1,0,0.0
tt0026104,becky sharp,1935,1935,1,0,1,0,0.0
tt0018773,the circus,1928,1927,1,1,1,1,1.0
tt0964517,the fighter,2010,2010,7,2,1,1,0.0
tt3901826,the breadwinner,2017,2017,1,0,1,0,0.0
tt0086197,the right stuff,1983,1983,8,4,1,1,0.0
tt0058092,father goose,1964,1964,3,1,1,1,0.0
tt4729430,klaus,2019,2019,1,0,1,0,0.0
tt3553976,captain fantastic,2016,2016,1,0,1,0,0.0
tt0426931,august rush,2007,2007,1,0,1,0,0.0
tt0053976,the virgin spring,1960,1960,2,1,1,1,0.0
tt0137523,fight club,1999,1999,1,0,1,0,0.0
tt0111797,eat drink man woman,1994,1994,1,0,1,0,0.0
tt0033870,the maltese falcon,1941,1941,3,0,1,0,0.0
tt0050986,wild strawberries,1957,1959,1,0,1,0,2.0
tt0114388,sense and sensibility,1995,1995,7,1,1,1,0.0
tt0037059,meet me in st louis,1944,1944,4,0,1,0,0.0
tt0441773,kung fu panda,2008,2008,1,0,1,0,0.0
tt0369339,collateral,2004,2004,2,0,1,0,0.0
tt0035446,to be or not to be,1942,1942,1,0,1,0,0.0
tt0037008,laura,1944,1944,5,1,1,1,0.0
tt3183660,fantastic beasts and where to find them,2016,2016,2,1,1,1,0.0
tt0066319,ryan s daughter,1970,1970,4,2,1,1,0.0
tt0048673,summertime,1955,1955,2,0,1,0,0.0
tt0078718,and justice for all,1979,1979,2,0,1,0,0.0
tt0045537,the band wagon,1953,1953,3,0,1,0,0.0
tt1276419,a royal affair,2012,2012,1,0,1,0,0.0
tt0052876,the hanging tree,1959,1959,1,0,1,0,0.0
tt0097937,my left foot,1989,1989,5,2,1,1,0.0
tt0059712,ship of fools,1965,1965,8,2,1,1,0.0
tt0051776,the inn of the sixth happiness,1958,1958,1,0,1,0,0.0
tt0047494,the silver chalice,1954,1954,2,0,1,0,0.0
tt0119282,hercules,1997,1997,1,0,1,0,0.0
tt0071455,earthquake,1974,1974,5,2,1,1,0.0
tt0027438,the charge of the light brigade,1936,1936,3,1,1,1,0.0
tt0095530,little dorrit,1987,1988,2,0,1,0,1.0
tt1558250,gasland,2010,2010,1,0,1,0,0.0
tt0093713,pelle the conqueror,1987,1988,2,1,1,1,1.0
tt1010048,slumdog millionaire,2008,2008,10,8,1,1,0.0
tt0117039,michael collins,1996,1996,2,0,1,0,0.0
tt0887912,the hurt locker,2008,2009,9,6,1,1,1.0
tt0046008,the living desert,1953,1953,1,1,1,1,0.0
tt0068326,butterflies are free,1972,1972,3,1,1,1,0.0
tt0203230,you can count on me,1998,2000,2,0,1,0,2.0
tt0052961,kapo,1960,1960,1,0,1,0,0.0
