stage,column,dtype,non_null,missing_pct,unique_non_null
clean,movie_title,string,16637,0.0,16106
clean,movie_info,string,16612,0.15,16612
clean,critics_consensus,string,8309,50.06,8307
clean,rating,string,16637,0.0,8
clean,genre,string,16620,0.1,1080
clean,directors,string,16523,0.69,8314
clean,writers,string,15288,8.11,12121
clean,cast,string,16353,1.71,16326
clean,in_theaters_date,datetime64[us],15822,4.9,5586
clean,on_streaming_date,datetime64[us],16635,0.01,2260
clean,runtime_in_minutes,Float64,16482,0.93,201
clean,studio_name,string,16215,2.54,2884
clean,tomatometer_status,string,16637,0.0,3
clean,tomatometer_rating,Int64,16637,0.0,101
clean,tomatometer_count,Int64,16637,0.0,393
clean,audience_rating,Float64,16385,1.51,98
clean,audience_count,Float64,16385,1.51,10885
clean,rt_id,int64,16637,0.0,16637
clean,title_key,str,16637,0.0,16076
clean,rt_year,float64,15822,4.9,104
clean,runtime_rt,Float64,16482,0.93,201
clean,rt_high,float64,16637,0.0,2
clean,rt_certified_fresh,int64,16637,0.0,2
