stage,column,dtype,non_null,missing_pct,unique_non_null
raw,movie_title,object,16638,0.0,16106
raw,movie_info,object,16614,0.14,16613
raw,critics_consensus,object,8309,50.06,8307
raw,rating,object,16638,0.0,8
raw,genre,object,16621,0.1,1080
raw,directors,object,16524,0.69,8314
raw,writers,object,15289,8.11,12121
raw,cast,object,16354,1.71,16326
raw,in_theaters_date,object,15823,4.9,5586
raw,on_streaming_date,object,16636,0.01,2260
raw,runtime_in_minutes,float64,16483,0.93,201
raw,studio_name,object,16222,2.5,2886
raw,tomatometer_status,object,16638,0.0,3
raw,tomatometer_rating,int64,16638,0.0,101
raw,tomatometer_count,int64,16638,0.0,393
raw,audience_rating,float64,16386,1.51,98
raw,audience_count,float64,16386,1.51,10885
