tconst,rt_id,rt_movie_title,rt_year,rt_tomatometer_rating,rt_tomatometer_count,rt_audience_rating,rt_audience_count,rt_runtime_minutes,rt_high,rt_certified_fresh,candidate_count,year_diff,runtime_diff
tt0011439,581,The Mark of Zorro,1920.0,88,8,70.0,4984.0,80.0,1.0,0,1,0.0,1.0
tt0011841,16038,Way Down East,1920.0,94,18,68.0,1059.0,107.0,1.0,0,1,0.0,38.0
tt0012349,973,The Kid,1921.0,100,32,95.0,15371.0,60.0,1.0,0,1,0.0,8.0
tt0012532,10810,Orphans of the Storm,1921.0,92,12,71.0,465.0,190.0,1.0,0,1,0.0,40.0
tt0013556,981,Robin Hood,1922.0,100,8,71.0,684.0,110.0,1.0,0,1,0.0,33.0
tt0014341,10833,Our Hospitality,1923.0,96,27,90.0,3404.0,74.0,1.0,0,1,0.0,9.0
tt0015163,13612,The Navigator,1924.0,100,17,89.0,3189.0,63.0,1.0,0,1,0.0,4.0
tt0015400,14939,The Thief of Bagdad,1924.0,96,25,83.0,2292.0,153.0,1.0,0,1,0.0,2.0
tt0015864,14169,The Gold Rush,1925.0,100,48,93.0,20500.0,85.0,1.0,1,1,0.0,10.0
tt0016630,3124,Battling Butler,1926.0,78,9,76.0,681.0,68.0,1.0,0,1,0.0,9.0
tt0016847,823,Faust,1926.0,94,18,91.0,5568.0,117.0,1.0,0,1,0.0,10.0
tt0017925,452,The General,1927.0,92,52,92.0,11457.0,79.0,1.0,1,1,1.0,12.0
tt0018578,16357,Wings,1927.0,93,41,78.0,3502.0,144.0,1.0,1,1,0.0,0.0
tt0018773,972,The Circus,1928.0,96,23,94.0,6690.0,75.0,1.0,0,1,0.0,3.0
tt0019412,12913,Speedy,1928.0,100,5,89.0,704.0,71.0,1.0,0,1,0.0,14.0
tt0020018,7815,In Old Arizona,1928.0,56,9,39.0,353.0,95.0,0.0,0,1,0.0,0.0
tt0022100,569,M,1931.0,100,53,95.0,36103.0,105.0,1.0,1,1,0.0,12.0
tt0022395,952,The Skin Game,1931.0,17,6,17.0,341.0,82.0,0.0,0,1,0.0,3.0
tt0022913,6345,Freaks,1932.0,94,54,88.0,24416.0,64.0,1.0,1,1,0.0,0.0
tt0023293,1006,The Old Dark House,1932.0,100,23,72.0,2746.0,71.0,1.0,0,1,0.0,1.0
