tconst,label,title_len,title_word_count,title_has_digit,title_has_colon,title_has_question,title_upper_ratio,has_original_title,runtime_missing,votes_missing,start_missing,end_missing,startYear,year_span,numVotes_log1p,num_directors,num_unique_directors,num_writers,num_unique_writers,is_auteur,director_hit_rate,writer_hit_rate,canonical_title_hit_rate,title_group_size_train,title_unique_years_train,title_conflicting_years,title_sim_to_hit,title_sim_to_non_hit,title_sim_margin,genre_match_flag,genre_token_count,genre_center_year,genre_center_runtime,genre_center_rating,is_action,is_comedy,is_drama,is_thriller,is_horror,is_romance,is_adventure,is_animation,is_crime,is_fantasy,is_sci_fi,is_mystery,is_biography,is_documentary,rt_match_flag,rt_tomatometer_rating,rt_audience_rating,rt_tomatometer_count,rt_audience_count,rt_certified_fresh,rt_high,rt_score_gap,rt_score_gap_abs,rt_popularity_log1p,oscar_was_nominated,oscar_was_winner,oscar_num_nominations,oscar_num_wins
tt0066842,1.0,13.0,2.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,1971,0.0,7.247792581767846,1.0,1.0,1.0,1.0,1.0,0.525065963060686,0.525065963060686,0.5013192612137203,1.0,1.0,0.0,0.0060331080227909294,0.0,0.0060331080227909294,0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0123328,1.0,17.0,4.0,0.0,0.0,0.0,0.17647058823529413,1.0,0.0,0.0,0.0,1.0,1997,0.0,7.753623546559746,1.0,1.0,1.0,1.0,1.0,0.4774469154416384,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.03648441802641106,0.03281078692963513,0.003673631096775931,1,4.0,1997.5,94.0,6.15,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0245573,0.0,5.0,2.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,2002,0.0,8.072779333169498,1.0,1.0,1.0,1.0,1.0,0.4774469154416384,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.0,0.0,0.0,1,2.0,1997.5,95.0,6.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,44,44.0,62,3260.0,0.0,0.0,0.0,0.0,4.143134726391533,0,0,0,0
tt5556054,0.0,16.0,4.0,0.0,0.0,0.0,0.1875,1.0,0.0,0.0,0.0,1.0,2020,0.0,7.198183577101943,1.0,1.0,3.0,3.0,0.0,0.4774469154416384,0.48612776844966815,0.5013192612137203,1.0,1.0,0.0,0.06975788515802032,0.04737988053155615,0.022378004626464172,1,2.0,2007.5,90.5,6.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt9010802,0.0,18.0,5.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,1.0,2019,0.0,6.981934677156389,1.0,1.0,5.0,5.0,0.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.02895363985730526,0.027722028734994974,0.0012316111223102874,0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0055830,1.0,17.0,3.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,1.0,1962,0.0,10.060363087998608,1.0,1.0,2.0,2.0,0.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.07286158421428768,0.055715857566940766,0.017145726647346912,1,2.0,2010.5,90.0,5.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,86,73.0,35,9427.0,0.0,1.0,13.0,13.0,3.58351893845611,0,0,0,0
tt7639372,0.0,13.0,2.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,2019,0.0,8.80926561216931,1.0,1.0,3.0,3.0,0.0,0.5013192612137203,0.4795227715957324,0.5013192612137203,1.0,1.0,0.0,0.0013480941643977274,0.0029278656188187753,-0.0015797714544210479,1,3.0,1999.0,93.0,5.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0120213,0.0,23.0,4.0,0.0,0.0,0.0,0.08695652173913043,1.0,0.0,0.0,0.0,1.0,1998,0.0,7.103322062526113,1.0,1.0,2.0,2.0,0.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.374630155974997,0.3344478619338404,0.040182294041156585,1,2.0,2006.0,91.5,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.0,5,2078.0,0.0,0.0,-62.0,62.0,1.791759469228055,0,0,0,0
tt1935897,0.0,24.0,3.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1.0,2017,0.0,9.528212115591021,1.0,1.0,1.0,1.0,1.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.15385381212414836,0.16705569237212095,-0.013201880247972586,1,2.0,2012.0,91.0,5.35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,32,32.0,19,23678.0,0.0,0.0,0.0,0.0,2.995732273553991,0,0,0,0
tt5277030,0.0,15.0,3.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,2019,0.0,7.513163545234075,1.0,1.0,1.0,1.0,1.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.021146594266728415,0.025779515836443383,-0.004632921569714968,1,2.0,2000.5,94.0,6.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt1754920,1.0,17.0,3.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,1.0,2011,0.0,8.430327258394575,1.0,1.0,3.0,3.0,0.0,0.5013192612137203,0.5012773799053482,0.5013192612137203,1.0,1.0,0.0,0.007853770429854414,0.001126156718493657,0.006727613711360757,1,3.0,1999.0,93.0,6.1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt1727388,1.0,16.0,4.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,2013,0.0,11.888165015271417,2.0,2.0,2.0,2.0,0.0,0.4774469154416384,0.5011993283761094,0.5013192612137203,1.0,1.0,0.0,0.12413929943816528,0.11437338662107391,0.009765912817091368,0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,84.0,181,55511.0,1.0,1.0,-1.0,1.0,5.204006687076795,0,0,0,0
