tconst,label,title_len,title_word_count,title_has_digit,title_has_colon,title_has_question,title_upper_ratio,has_original_title,runtime_missing,votes_missing,start_missing,end_missing,startYear,year_span,numVotes_log1p,num_directors,num_unique_directors,num_writers,num_unique_writers,is_auteur,director_hit_rate,writer_hit_rate,canonical_title_hit_rate,title_group_size_train,title_unique_years_train,title_conflicting_years,title_sim_to_hit,title_sim_to_non_hit,title_sim_margin,genre_match_flag,genre_token_count,genre_center_year,genre_center_runtime,genre_center_rating,is_action,is_comedy,is_drama,is_thriller,is_horror,is_romance,is_adventure,is_animation,is_crime,is_fantasy,is_sci_fi,is_mystery,is_biography,is_documentary,rt_match_flag,rt_tomatometer_rating,rt_audience_rating,rt_tomatometer_count,rt_audience_count,rt_certified_fresh,rt_high,rt_score_gap,rt_score_gap_abs,rt_popularity_log1p,oscar_was_nominated,oscar_was_winner,oscar_num_nominations,oscar_num_wins
tt0401711,1.0,15.0,4.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,2006,0.0,11.182363726888726,21.0,21.0,29.0,29.0,0.0,0.515100916453364,0.5050188855474601,0.5013192612137203,1.0,1.0,0.0,0.012660612125799501,0.0,0.012660612125799501,1,3.0,1999.0,95.0,6.2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,87,84.0,112,192556.0,1.0,1.0,3.0,3.0,4.727387818712341,0,0,0,0
tt4975920,0.0,7.0,2.0,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.0,1.0,2019,0.0,8.980927207648378,1.0,1.0,2.0,2.0,0.0,0.5013192612137203,0.48938308832767935,0.525065963060686,2.0,2.0,1.0,0.17839901908854502,0.18333227389320303,-0.004933254804658005,1,3.0,1999.0,95.0,6.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,45,48.0,40,186.0,0.0,0.0,-3.0,3.0,3.713572066704308,0,0,0,0
tt8145202,0.0,15.0,5.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,2020,0.0,8.627302414096267,1.0,1.0,2.0,2.0,0.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.19573256658733532,0.21183142545223804,-0.016098858864902726,0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0049509,1.0,19.0,4.0,0.0,0.0,0.0,0.10526315789473684,1.0,0.0,0.0,0.0,1.0,1956,0.0,8.644711843108322,1.0,1.0,1.0,1.0,1.0,0.5013192612137203,0.6585890848493264,0.5013192612137203,1.0,1.0,0.0,0.16766426899421175,0.15207007944955972,0.015594189544652026,1,4.0,1997.5,95.0,6.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0092802,0.0,14.0,3.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,1.0,1987,0.0,8.43946745348885,1.0,1.0,2.0,2.0,0.0,0.5013192612137203,0.49040537299112497,0.5013192612137203,1.0,1.0,0.0,0.04352694737533698,0.018453061283251238,0.025073886092085742,1,2.0,2000.5,94.0,6.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0099395,0.0,17.0,3.0,0.0,0.0,0.0,0.11764705882352941,1.0,0.0,0.0,0.0,1.0,1990,0.0,7.346655163176539,1.0,1.0,1.0,1.0,1.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.01747471306638328,0.015282159438085148,0.002192553628298132,1,1.0,2013.0,89.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt1480649,0.0,13.0,3.0,1.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,2009,0.0,7.181591944611865,1.0,1.0,2.0,2.0,0.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.022492512243648326,0.015507617094544127,0.006984895149104199,1,4.0,2003.5,92.5,6.05,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0069518,1.0,27.0,5.0,0.0,0.0,0.0,0.18518518518518517,1.0,0.0,0.0,0.0,1.0,1971,0.0,7.319202458767849,1.0,1.0,1.0,1.0,1.0,0.5844327176781002,0.5663645749684525,0.5013192612137203,1.0,1.0,0.0,0.11134336568813988,0.10871293927985916,0.00263042640828072,1,2.0,1999.0,94.5,6.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0313573,1.0,15.0,3.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,1998,0.0,8.19891444498699,1.0,1.0,3.0,3.0,0.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.007653247036914264,0.0,0.007653247036914264,0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,,,,0.0,0,0,0,0
tt0356159,0.0,8.0,1.0,0.0,0.0,0.0,0.125,1.0,0.0,0.0,0.0,1.0,2004,0.0,7.812782818577581,1.0,1.0,1.0,1.0,1.0,0.5013192612137203,0.5013192612137203,0.5013192612137203,1.0,1.0,0.0,0.0,0.0,0.0,1,2.0,2012.0,91.0,5.35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,45,41.0,40,1914.0,0.0,0.0,4.0,4.0,3.713572066704308,0,0,0,0
